지역,연도,평균가격
경북,2010,116.7
경남,2010,179.6
제주,2010,165.1
서울,2010,593.9
도심권,2010,688.9
동북권,2010,453.5
동남권,2010,853.1
서북권,2010,483.6
서남권,2010,503.2
부산,2010,204.2
대구,2010,169.7
인천,2010,272.3
광주,2010,128.4
대전,2010,202.9
울산,2010,186.9
경기,2010,301.6
강원,2010,118.8
충북,2010,138.7
충남,2010,149.4
전북,2010,139.9
전남,2010,117.0
경북,2010,119.1
경남,2010,178.2
제주,2010,161.4
서울,2010,599.0
도심권,2010,666.4
동북권,2010,443.0
동남권,2010,882.2
서북권,2010,492.2
서남권,2010,508.0
부산,2010,206.8
대구,2010,170.0
인천,2010,272.0
광주,2010,135.1
대전,2010,205.2
울산,2010,186.2
경기,2010,300.7
강원,2010,120.8
충북,2010,140.4
충남,2010,148.1
전북,2010,138.5
전남,2010,122.3
경북,2010,120.2
경남,2010,179.8
제주,2010,164.1
서울,2010,583.6
도심권,2010,645.9
동북권,2010,442.4
동남권,2010,878.6
서북권,2010,477.3
서남권,2010,501.0
부산,2010,209.4
대구,2010,171.9
인천,2010,271.8
광주,2010,135.5
대전,2010,204.5
울산,2010,194.7
경기,2010,306.2
강원,2010,123.3
충북,2010,140.5
충남,2010,150.7
전북,2010,145.6
전남,2010,121.9
경북,2010,120.7
경남,2010,191.7
제주,2010,167.4
서울,2010,602.2
도심권,2010,679.0
동북권,2010,452.6
동남권,2010,874.7
서북권,2010,495.7
서남권,2010,531.7
부산,2010,216.4
대구,2010,174.8
인천,2010,275.8
광주,2010,139.8
대전,2010,214.7
울산,2010,196.1
경기,2010,315.1
강원,2010,127.7
충북,2010,146.7
충남,2010,153.9
전북,2010,150.0
전남,2010,127.5
경북,2010,124.3
경남,2010,192.9
제주,2010,165.8
서울,2010,644.2
도심권,2010,688.3
동북권,2010,463.3
동남권,2010,927.3
서북권,2010,509.1
서남권,2010,549.2
부산,2010,228.8
대구,2010,181.3
인천,2010,279.4
광주,2010,142.8
대전,2010,223.4
울산,2010,197.0
경기,2010,331.1
강원,2010,130.5
충북,2010,151.0
충남,2010,159.7
전북,2010,149.4
전남,2010,126.7
경북,2010,125.6
경남,2010,200.2
제주,2010,177.2
서울,2010,647.8
도심권,2010,681.2
동북권,2010,470.4
동남권,2010,939.1
서북권,2010,517.1
서남권,2010,546.3
부산,2010,235.9
대구,2010,182.3
인천,2010,283.7
광주,2010,146.3
대전,2010,227.5
울산,2010,203.9
경기,2010,335.6
강원,2010,138.8
충북,2010,153.1
충남,2010,161.3
전북,2010,152.0
전남,2010,130.9
경북,2010,127.6
경남,2010,204.1
제주,2010,167.3
서울,2011,611.7
도심권,2011,697.1
동북권,2011,474.0
동남권,2011,884.4
서북권,2011,530.5
서남권,2011,535.7
부산,2011,242.8
대구,2011,188.3
인천,2011,283.9
광주,2011,152.1
대전,2011,233.1
울산,2011,208.2
경기,2011,335.8
강원,2011,144.3
충북,2011,165.7
충남,2011,169.7
전북,2011,162.3
전남,2011,132.6
경북,2011,131.8
경남,2011,215.9
제주,2011,169.2
서울,2011,584.2
도심권,2011,732.9
동북권,2011,470.5
동남권,2011,858.1
서북권,2011,497.0
서남권,2011,515.0
부산,2011,244.7
대구,2011,188.1
인천,2011,282.0
광주,2011,153.8
대전,2011,235.4
울산,2011,202.4
경기,2011,324.9
강원,2011,138.7
충북,2011,156.0
충남,2011,162.1
전북,2011,157.3
전남,2011,132.4
경북,2011,129.1
경남,2011,215.3
제주,2011,162.9
서울,2011,566.7
도심권,2011,695.6
동북권,2011,465.9
동남권,2011,841.3
서북권,2011,505.3
서남권,2011,504.3
부산,2011,244.5
대구,2011,186.6
인천,2011,276.7
광주,2011,158.6
대전,2011,233.9
울산,2011,197.7
경기,2011,312.5
강원,2011,135.8
충북,2011,156.7
충남,2011,162.5
전북,2011,156.6
전남,2011,130.2
경북,2011,128.3
경남,2011,222.3
제주,2011,179.4
서울,2011,570.9
도심권,2011,697.1
동북권,2011,463.3
동남권,2011,865.1
서북권,2011,485.0
서남권,2011,515.8
부산,2011,249.6
대구,2011,188.8
인천,2011,272.3
광주,2011,162.3
대전,2011,231.8
울산,2011,204.3
경기,2011,308.8
강원,2011,137.9
충북,2011,158.4
충남,2011,160.6
전북,2011,156.8
전남,2011,130.6
경북,2011,128.6
경남,2011,223.4
제주,2011,188.8
서울,2011,573.6
도심권,2011,679.2
동북권,2011,457.9
동남권,2011,865.2
서북권,2011,496.5
서남권,2011,514.0
부산,2011,252.9
대구,2011,194.6
인천,2011,273.3
광주,2011,167.1
대전,2011,247.5
울산,2011,211.5
경기,2011,313.0
강원,2011,138.6
충북,2011,164.3
충남,2011,163.3
전북,2011,162.4
전남,2011,127.3
경북,2011,129.9
