지역,연도,평균가격
도,2009,152.3
도,2009,131.3
도,2009,108.2
도,2009,123.2
도,2009,165.9
도,2009,150.4
전국,2010,266.6
수도권,2010,456.5
지방,2010,165.2
서울,2010,681.5
서울,2010,747.9
서울,2010,493.2
서울,2010,966.8
서울,2010,520.9
서울,2010,562.3
광역시,2010,202.6
광역시,2010,175.8
광역시,2010,288.1
광역시,2010,135.7
광역시,2010,198.3
광역시,2010,191.4
도,2010,341.2
도,2010,127.3
도,2010,142.6
도,2010,153.0
도,2010,135.9
도,2010,114.5
도,2010,123.8
도,2010,173.9
도,2010,158.8
전국,2010,244.0
수도권,2010,410.7
지방,2010,161.5
서울,2010,619.0
서울,2010,730.9
서울,2010,491.7
서울,2010,877.5
서울,2010,493.1
서울,2010,532.3
광역시,2010,202.8
광역시,2010,170.4
광역시,2010,286.7
광역시,2010,135.5
광역시,2010,193.5
광역시,2010,191.1
도,2010,322.0
도,2010,123.6
도,2010,135.6
도,2010,150.6
도,2010,138.8
도,2010,113.7
도,2010,121.4
도,2010,170.0
도,2010,144.2
전국,2010,229.6
수도권,2010,384.0
지방,2010,160.6
서울,2010,586.2
서울,2010,716.0
서울,2010,479.2
서울,2010,839.3
서울,2010,495.1
서울,2010,507.0
광역시,2010,198.4
광역시,2010,170.7
광역시,2010,279.1
광역시,2010,133.8
광역시,2010,189.5
광역시,2010,190.7
도,2010,308.2
도,2010,121.4
도,2010,133.8
도,2010,148.3
도,2010,136.2
도,2010,111.0
도,2010,119.0
도,2010,170.5
도,2010,154.9
전국,2010,216.8
수도권,2010,368.3
지방,2010,158.3
서울,2010,566.7
서울,2010,675.3
서울,2010,458.7
서울,2010,851.9
서울,2010,483.3
서울,2010,490.2
광역시,2010,198.6
광역시,2010,168.2
광역시,2010,272.6
광역시,2010,132.4
광역시,2010,189.1
광역시,2010,183.8
도,2010,300.4
도,2010,119.9
도,2010,134.3
도,2010,148.6
도,2010,136.2
도,2010,110.9
도,2010,118.0
도,2010,168.0
도,2010,160.2
전국,2010,220.3
수도권,2010,372.3
지방,2010,160.3
서울,2010,588.3
서울,2010,671.4
서울,2010,450.4
서울,2010,872.0
서울,2010,481.0
서울,2010,508.0
광역시,2010,199.1
광역시,2010,169.5
광역시,2010,275.2
광역시,2010,133.8
광역시,2010,190.5
광역시,2010,188.5
도,2010,303.8
도,2010,121.4
도,2010,138.6
도,2010,155.5
도,2010,139.6
도,2010,113.6
도,2010,117.6
도,2010,171.7
도,2010,148.7
전국,2010,224.6
수도권,2010,378.7
지방,2010,162.4
서울,2010,598.4
서울,2010,722.5
서울,2010,455.2
서울,2010,875.8
서울,2010,491.1
서울,2010,509.8
광역시,2010,200.9
광역시,2010,172.0
광역시,2010,270.0
광역시,2010,132.2
광역시,2010,194.2
광역시,2010,185.6
도,2010,304.9
도,2010,123.0
도,2010,139.9
도,2010,154.1
도,2010,143.5
도,2010,116.9
도,2010,116.7
도,2010,179.6
도,2010,165.1
전국,2010,221.9
수도권,2010,373.2
지방,2010,161.0
서울,2010,593.9
서울,2010,688.9
서울,2010,453.5
서울,2010,853.1
서울,2010,483.6
서울,2010,503.2
광역시,2010,204.2
광역시,2010,169.7
광역시,2010,272.3
광역시,2010,128.4
광역시,2010,202.9
광역시,2010,186.9
도,2010,301.6
도,2010,118.8
도,2010,138.7
도,2010,149.4
도,2010,139.9
도,2010,117.0
도,2010,119.1
도,2010,178.2
도,2010,161.4
전국,2010,227.6
수도권,2010,371.4
지방,2010,163.9
서울,2010,599.0
서울,2010,666.4
서울,2010,443.0
서울,2010,882.2
서울,2010,492.2
서울,2010,508.0
광역시,2010,206.8
광역시,2010,170.0
광역시,2010,272.0
광역시,2010,135.1
광역시,2010,205.2
광역시,2010,186.2
도,2010,300.7
도,2010,120.8
도,2010,140.4
도,2010,148.1
도,2010,138.5
도,2010,122.3
도,2010,120.2
도,2010,179.8
도,2010,164.1
전국,2010,237.1
수도권,2010,372.3
지방,2010,168.0
서울,2010,583.6
서울,2010,645.9
서울,2010,442.4
서울,2010,878.6
서울,2010,477.3
서울,2010,501.0
광역시,2010,209.4
광역시,2010,171.9
광역시,2010,271.8
광역시,2010,135.5
광역시,2010,204.5
광역시,2010,194.7
도,2010,306.2
도,2010,123.3
도,2010,140.5
도,2010,150.7
도,2010,145.6
도,2010,121.9
도,2010,120.7
도,2010,191.7
도,2010,167.4
전국,2010,251.4
수도권,2010,389.4
지방,2010,174.0
서울,2010,602.2
서울,2010,679.0
서울,2010,452.6
서울,2010,874.7
서울,2010,495.7
서울,2010,531.7
광역시,2010,216.4
광역시,2010,174.8
광역시,2010,275.8
광역시,2010,139.8
광역시,2010,214.7
광역시,2010,196.1
도,2010,315.1
도,2010,127.7
도,2010,146.7
도,2010,153.9
도,2010,150.0
도,2010,127.5
도,2010,124.3
도,2010,192.9
도,2010,165.8
전국,2010,276.6
수도권,2010,428.9
지방,2010,180.7
서울,2010,644.2
서울,2010,688.3
서울,2010,463.3
서울,2010,927.3
서울,2010,509.1
서울,2010,549.2
광역시,2010,228.8
광역시,2010,181.3
광역시,2010,279.4
광역시,2010,142.8
광역시,2010,223.4
